Depth,Absolute Salinity,Temperature
0,32.0,-1.0
1,32.00429184549356,-0.994277539341917
2,32.00858369098712,-0.9885550786838341
3,32.012875536480685,-0.9828326180257511
4,32.01716738197425,-0.9771101573676682
5,32.02145922746781,-0.9713876967095851
6,32.02575107296137,-0.9656652360515021
7,32.03004291845494,-0.9599427753934192
8,32.0343347639485,-0.9542203147353362
9,32.03862660944206,-0.9484978540772532
10,32.042918454935624,-0.9427753934191703
11,32.047210300429185,-0.9370529327610873
12,32.05150214592275,-0.9313304721030042
13,32.05579399141631,-0.9256080114449213
14,32.06008583690987,-0.9198855507868383
15,32.06437768240343,-0.9141630901287554
16,32.06866952789699,-0.9084406294706724
17,32.072961373390555,-0.9027181688125894
18,32.07725321888412,-0.8969957081545065
19,32.081545064377686,-0.8912732474964234
20,32.08583690987125,-0.8855507868383405
21,32.09012875536481,-0.8798283261802575
22,32.09442060085837,-0.8741058655221745
23,32.09871244635193,-0.8683834048640915
24,32.103004291845494,-0.8626609442060086
25,32.107296137339056,-0.8569384835479257
26,32.11158798283262,-0.8512160228898427
27,32.11587982832618,-0.8454935622317596
28,32.12017167381974,-0.8397711015736766
29,32.1244635193133,-0.8340486409155937
30,32.128755364806864,-0.8283261802575107
31,32.13304721030043,-0.8226037195994278
32,32.137339055793994,-0.8168812589413448
33,32.141630901287556,-0.8111587982832618
34,32.14592274678112,-0.8054363376251789
35,32.15021459227468,-0.7997138769670958
36,32.15450643776824,-0.7939914163090129
37,32.1587982832618,-0.7882689556509299
38,32.163090128755364,-0.7825464949928469
39,32.167381974248926,-0.7768240343347639
40,32.17167381974249,-0.771101573676681
41,32.17596566523605,-0.7653791130185981
42,32.18025751072961,-0.759656652360515
43,32.18454935622318,-0.753934191702432
44,32.18884120171674,-0.748211731044349
45,32.1931330472103,-0.7424892703862661
46,32.197424892703864,-0.7367668097281831
47,32.201716738197426,-0.7310443490701002
48,32.20600858369099,-0.7253218884120172
49,32.21030042918455,-0.7195994277539342
50,32.21459227467811,-0.7138769670958512
51,32.21888412017167,-0.7081545064377682
52,32.223175965665234,-0.7024320457796853
53,32.227467811158796,-0.6967095851216023
54,32.23175965665236,-0.6909871244635193
55,32.23605150214592,-0.6852646638054363
56,32.24034334763949,-0.6795422031473534
57,32.24463519313305,-0.6738197424892705
58,32.24892703862661,-0.6680972818311874
59,32.25321888412017,-0.6623748211731044
60,32.257510729613735,-0.6566523605150214
61,32.261802575107296,-0.6509298998569385
62,32.26609442060086,-0.6452074391988555
63,32.27038626609442,-0.6394849785407726
64,32.27467811158798,-0.6337625178826896
65,32.27896995708154,-0.6280400572246065
66,32.283261802575105,-0.6223175965665236
67,32.287553648068666,-0.6165951359084406
68,32.291845493562235,-0.6108726752503577
69,32.2961373390558,-0.6051502145922747
70,32.30042918454936,-0.5994277539341917
71,32.30472103004292,-0.5937052932761087
72,32.30901287553648,-0.5879828326180258
73,32.31330472103004,-0.5822603719599428
74,32.317596566523605,-0.5765379113018598
75,32.32188841201717,-0.5708154506437768
76,32.32618025751073,-0.5650929899856938
77,32.33047210300429,-0.5593705293276109
78,32.33476394849785,-0.5536480686695279
79,32.33905579399141,-0.547925608011445
80,32.34334763948498,-0.542203147353362
81,32.347639484978544,-0.5364806866952789
82,32.351931330472105,-0.530758226037196
83,32.35622317596567,-0.525035765379113
84,32.36051502145923,-0.5193133047210301
85,32.36480686695279,-0.5135908440629471
86,32.36909871244635,-0.5078683834048641
87,32.37339055793991,-0.502145922746781
88,32.377682403433475,-0.49642346208869814
89,32.38197424892704,-0.4907010014306151
90,32.3862660944206,-0.4849785407725322
91,32.39055793991416,-0.4792560801144492
92,32.39484978540773,-0.4735336194563662
93,32.39914163090129,-0.4678111587982833
94,32.40343347639485,-0.46208869814020026
95,32.407725321888414,-0.45636623748211735
96,32.412017167381975,-0.45064377682403434
97,32.41630901287554,-0.4449213161659513
98,32.4206008583691,-0.4391988555078684
